timeExposed,timeTotal,propTimeExposed,propPopExposued,events,mdrr,exposureId,outcomeId,analysisId,ExposureGroup
153494,35909546,0.0043,0.9998,7397,1.5624,1,1,1,SccsVax
153494,35909546,0.0043,0.9998,489,3.9059,1,2,1,SccsVax
153494,35909546,0.0043,0.9998,305,5.0114,1,3,1,SccsVax
153494,35909546,0.0043,0.9998,50,16.9571,1,4,1,SccsVax
116994,27382172,0.0043,1,5641,1.6546,2,1,1,SccsVax
116994,27382172,0.0043,1,388,4.3984,2,2,1,SccsVax
116994,27382172,0.0043,1,241,5.7381,2,3,1,SccsVax
116994,27382172,0.0043,1,39,20.7103,2,4,1,SccsVax
41089,9627811,0.0043,0.9991,1930,2.2211,3,1,1,SccsVax
41089,9627811,0.0043,0.9991,111,9.4237,3,2,1,SccsVax
41089,9627811,0.0043,0.9991,102,9.993,3,3,1,SccsVax
41089,9627811,0.0043,0.9991,9,80.9472,3,4,1,SccsVax
13769,3226958,0.0043,1,618,3.4917,4,1,1,SccsVax
13769,3226958,0.0043,1,36,22.1462,4,2,1,SccsVax
13769,3226958,0.0043,1,34,23.2268,4,3,1,SccsVax
13769,3226958,0.0043,1,5,160.1465,4,4,1,SccsVax
21182,4953871,0.0043,1,978,2.8526,5,1,1,SccsVax
21182,4953871,0.0043,1,151,7.6614,5,2,1,SccsVax
21182,4953871,0.0043,1,71,12.9608,5,3,1,SccsVax
21182,4953871,0.0043,1,51,16.691,5,4,1,SccsVax
15386,3597856,0.0043,1,704,3.2856,6,1,1,SccsVax
15386,3597856,0.0043,1,127,8.588,6,2,1,SccsVax
15386,3597856,0.0043,1,48,17.507,6,3,1,SccsVax
15386,3597856,0.0043,1,46,18.1099,6,4,1,SccsVax
8722,2036501,0.0043,0.9992,455,4.0459,7,1,1,SccsVax
8722,2036501,0.0043,0.9992,22,33.7728,7,2,1,SccsVax
8722,2036501,0.0043,0.9992,18,40.5608,7,3,1,SccsVax
8722,2036501,0.0043,0.9992,0,22026.4658,7,4,1,SccsVax
136716,31983555,0.0043,0.9999,6552,1.6017,8,1,1,SccsVax
136716,31983555,0.0043,0.9999,405,4.2996,8,2,1,SccsVax
136716,31983555,0.0043,0.9999,266,5.416,8,3,1,SccsVax
136716,31983555,0.0043,0.9999,45,18.437,8,4,1,SccsVax
104800,24532276,0.0043,1,5035,1.6981,9,1,1,SccsVax
104800,24532276,0.0043,1,326,4.8314,9,2,1,SccsVax
104800,24532276,0.0043,1,216,6.1259,9,3,1,SccsVax
104800,24532276,0.0043,1,37,21.6297,9,4,1,SccsVax
37897,8880659,0.0043,0.9991,1766,2.2882,10,1,1,SccsVax
37897,8880659,0.0043,0.9991,106,9.7294,10,2,1,SccsVax
37897,8880659,0.0043,0.9991,90,10.9178,10,3,1,SccsVax
37897,8880659,0.0043,0.9991,9,80.9534,10,4,1,SccsVax
13223,3098887,0.0043,1,595,3.5544,11,1,1,SccsVax
13223,3098887,0.0043,1,35,22.6705,11,2,1,SccsVax
13223,3098887,0.0043,1,31,25.108,11,3,1,SccsVax
13223,3098887,0.0043,1,5,160.1411,11,4,1,SccsVax
18844,4407505,0.0043,1,866,3.0012,12,1,1,SccsVax
18844,4407505,0.0043,1,125,8.6814,12,2,1,SccsVax
18844,4407505,0.0043,1,62,14.3532,12,3,1,SccsVax
18844,4407505,0.0043,1,41,19.8722,12,4,1,SccsVax
13965,3266592,0.0043,1,637,3.4398,13,1,1,SccsVax
13965,3266592,0.0043,1,110,9.4718,13,2,1,SccsVax
13965,3266592,0.0043,1,40,20.2771,13,3,1,SccsVax
13965,3266592,0.0043,1,39,20.7012,13,4,1,SccsVax
7686,1797927,0.0043,0.9991,397,4.3445,14,1,1,SccsVax
7686,1797927,0.0043,0.9991,19,38.6424,14,2,1,SccsVax
7686,1797927,0.0043,0.9991,13,55.4517,14,3,1,SccsVax
7686,1797927,0.0043,0.9991,0,22026.4658,14,4,1,SccsVax
149724.70176662004,38029616.08884648,0.0039,0.8082,9157,1.5227,1,1,2,SccsVax
141851.58966292406,33632271.845902815,0.0042,0.8082,666,3.3906,1,2,2,SccsVax
149914.67808020944,38075478.76018676,0.0039,0.8082,395,4.547,1,3,2,SccsVax
150749.29928015353,39560867.275786564,0.0038,0.8083,67,14.7099,1,4,2,SccsVax
114188.18315117064,31362917.70410507,0.0036,0.7324,7683,1.6018,2,1,2,SccsVax
108160.03649395039,27395205.671676174,0.0039,0.7324,581,3.7294,2,2,2,SccsVax
114345.29962515367,31416654.59435039,0.0036,0.7324,342,5.135,2,3,2,SccsVax
114974.1068680122,33021799.096396025,0.0035,0.7324,56,18.0789,2,4,2,SccsVax
40791.2859815518,19099336.736091614,0.0021,0.428,4589,2.0979,3,1,2,SccsVax
38797.7769692671,17193114.18238361,0.0023,0.428,342,6.787,3,2,2,SccsVax
40767.52928947244,19018160.367951624,0.0021,0.428,217,9.4338,3,3,2,SccsVax
40780.58706289704,19199131.237409763,0.0021,0.4285,30,45.5462,3,4,2,SccsVax
13752.920837647802,14056307.022033488,0.001,0.1884,3479,3.0988,4,1,2,SccsVax
13643.398418473844,12759026.960335832,0.0011,0.1884,283,12.6784,4,2,2,SccsVax
13752.393294899586,14026174.851020383,0.001,0.1884,163,20.5391,4,3,2,SccsVax
13749.833085976421,14161619.12492421,0.001,0.1887,27,98.9809,4,4,2,SccsVax
20983.894931714538,15456576.453066252,0.0014,0.2664,3790,2.6198,5,1,2,SccsVax
20303.665712908474,14057132.923012001,0.0014,0.2664,378,8.4429,5,2,2,SccsVax
20980.417937810606,15426174.738859344,0.0014,0.2664,200,13.7376,5,3,2,SccsVax
20981.022884194233,15554015.462913968,0.0013,0.2668,65,33.7927,5,4,2,SccsVax
15261.103974849248,14364156.933044925,0.0011,0.2062,3558,2.9637,6,1,2,SccsVax
14902.104978445595,13044409.09482204,0.0011,0.2062,360,10.2081,6,2,2,SccsVax
15259.539273062532,14337128.87362789,0.0011,0.2062,180,17.8487,6,3,2,SccsVax
15262.178039356864,14481902.074406298,0.0011,0.2065,61,43.8352,6,4,2,SccsVax
8699.81728236967,13143203.538191833,7e-4,0.1263,3375,3.7569,7,1,2,SccsVax
8506.336028545602,11922102.619862113,7e-4,0.1263,268,17.8065,7,2,2,SccsVax
8698.138792688062,13119696.070750104,7e-4,0.1263,152,29.6621,7,3,2,SccsVax
8705.337361775311,13272499.037372615,7e-4,0.1265,22,172.1437,7,4,2,SccsVax
133527.10442927893,35155390.456145324,0.0038,0.7774,8445,1.5577,8,1,2,SccsVax
126534.35347192864,31100425.374168776,0.0041,0.7774,595,3.6346,8,2,2,SccsVax
133688.77602127995,35188585.615222566,0.0038,0.7774,360,4.8742,8,3,2,SccsVax
134438.9862603925,36533506.673749186,0.0037,0.7775,62,16.0181,8,4,2,SccsVax
102492.43164484912,29336889.315280385,0.0035,0.701,7167,1.6403,9,1,2,SccsVax
97167.70217219142,25657036.548462905,0.0038,0.701,527,3.9937,9,2,2,SccsVax
102625.02938927118,29375635.94829782,0.0035,0.701,318,5.4771,9,3,2,SccsVax
103183.55021670487,30819740.75641691,0.0033,0.7011,54,19.1699,9,4,2,SccsVax
37635.02081239329,18531563.447827682,0.002,0.4056,4456,2.151,10,1,2,SccsVax
35780.88821498898,16688046.12137356,0.0021,0.4056,338,7.056,10,2,2,SccsVax
37612.848395056346,18455324.14093165,0.002,0.4056,207,10.0826,10,3,2,SccsVax
37625.30164557636,18634235.560191616,0.002,0.4062,30,47.5295,10,4,2,SccsVax
13214.217513178986,13957500.21211042,9e-4,0.1821,3461,3.1504,11,1,2,SccsVax
13108.472692507907,12668901.87083131,0.001,0.1821,282,13.015,11,2,2,SccsVax
